gene	transcript	protein_change	score	pvalue	qvalue	info
ATAD5	NA	NA	NA	NA	1	NA
ATF7IP	NA	NA	NA	NA	1	NA
ATG2A	NA	NA	NA	NA	1	NA
ATG2B	NA	NA	NA	NA	1	NA
ATG4D	NA	NA	NA	NA	1	NA
ATM	NA	NA	NA	NA	1	NA
ATMIN	NA	NA	NA	NA	1	NA
ATN1	NA	NA	NA	NA	1	NA
ATP10A	NA	NA	NA	NA	1	NA
ATP11A	NA	NA	NA	NA	1	NA
ATP11B	NA	NA	NA	NA	1	NA
ATP12A	NA	NA	NA	NA	1	NA
ATP13A2	NA	NA	NA	NA	1	NA
ATP13A3	NA	NA	NA	NA	1	NA
ATP13A4	NA	NA	NA	NA	1	NA
ATP1A1	NA	NA	NA	NA	1	NA
ATP1A2	NA	NA	NA	NA	1	NA
ATP1A3	NA	NA	NA	NA	1	NA
ATP1A4	NA	NA	NA	NA	1	NA
ATP2A1	NA	NA	NA	NA	1	NA
ATP2A2	NA	NA	NA	NA	1	NA
ATP2B1	NA	NA	NA	NA	1	NA
ATP2B2	NA	NA	NA	NA	1	NA
ATP2B4	NA	NA	NA	NA	1	NA
ATP6V0A1	NA	NA	NA	NA	1	NA
ATP6V1A	NA	NA	NA	NA	1	NA
ATP6V1B1	NA	NA	NA	NA	1	NA
ATP7B	NA	NA	NA	NA	1	NA
ATP8A1	NA	NA	NA	NA	1	NA
ATP8A2	NA	NA	NA	NA	1	NA
ATP8B1	NA	NA	NA	NA	0.583329183443886	NA
ATP8B2	NA	NA	NA	NA	1	NA
ATP8B4	NA	NA	NA	NA	1	NA
ATR	NA	NA	NA	NA	1	NA
ATRNL1	NA	NA	NA	NA	1	NA
ATRX	NA	NA	NA	NA	1	NA
ATXN2L	NA	NA	NA	NA	1	NA
AUP1	NA	NA	NA	NA	1	NA
AUTS2	NA	NA	NA	NA	1	NA
AXDND1	NA	NA	NA	NA	1	NA
AXIN2	NA	NA	NA	NA	1	NA
AZI1	NA	NA	NA	NA	1	NA
B4GALNT2	NA	NA	NA	NA	1	NA
B4GALNT3	NA	NA	NA	NA	1	NA
BACH2	NA	NA	NA	NA	1	NA
BAI3	NA	NA	NA	NA	1	NA
BAIAP3	NA	NA	NA	NA	1	NA
